,feature,importance,stddev,p_value,n,p99_high,p99_low,seed,fold,model
36,CC-p2-Pd,-0.004615384615384688,0.002733917897349654,0.9999998040894457,20,-0.002866430557989278,-0.006364338672780098,27431,1,KNeighborsDist
37,St-p3-Pd,-0.01850000000000008,0.02171626293791793,0.9994084877363393,20,-0.004607576158904905,-0.03239242384109525,27431,1,KNeighborsDist
38,St-p2-Pd,0.14323076923076922,0.049698937901397254,3.8412112131738204e-11,20,0.17502439374859227,0.11143714471294616,27431,1,LightGBMXT
39,St-p1-Pd,0.04315384615384618,0.01598407023887947,1.167786940013959e-10,20,0.05337924631128409,0.032928445996408276,27431,1,LightGBMXT
40,dm-edad,0.031384615384615434,0.01370962831150934,1.7997887296786453e-09,20,0.04015499948577728,0.022614231283453586,27431,1,LightGBMXT
41,CC-p1-Pd,0.024692307692307725,0.02206682752425828,3.937671852612529e-05,20,0.03880899626214748,0.010575619122467964,27431,1,LightGBMXT
42,Tv-10-Pd,0.02238461538461539,0.012210904857801408,5.815248107397233e-08,20,0.03019622948474055,0.014573001284490232,27431,1,LightGBMXT
43,FR-p2-Pd,0.016538461538461568,0.01135892714063963,1.5419107089540955e-06,20,0.02380504468257847,0.009271878394344665,27431,1,LightGBMXT
44,FR-p1-Pd,0.010384615384615386,0.012665595741142392,0.0008197114892845109,20,0.018487106349057078,0.0022821244201736927,27431,1,LightGBMXT
45,Tv-08-Pd,0.008538461538461556,0.005873683317538553,1.574987488926921e-06,20,0.012296000226811911,0.0047809228501112,27431,1,LightGBMXT
46,Tv-09-Pd,0.006307692307692353,0.0042324251452068055,1.1261303331046445e-06,20,0.00901527805396068,0.003600106561424026,27431,1,LightGBMXT
47,cl-RC_e,0.00315384615384619,0.001055896524851175,2.076573310579248e-11,20,0.003829328952037913,0.0024783633556544676,27431,1,LightGBMXT
48,CC-pt-Pd,0.0028461538461539092,0.0025094030577032926,3.3833606464079307e-05,20,0.004451480276645948,0.0012408274156618705,27431,1,LightGBMXT
49,Tv-11-Pd,0.0019230769230769939,0.0017200522903844712,3.9749874992076314e-05,20,0.0030234363870962028,0.000822717459057785,27431,1,LightGBMXT
50,Tv-02-Pd,0.0016923076923077486,0.002440190832427014,0.0029377801673721978,20,0.003253357371718249,0.0001312580128972477,27431,1,LightGBMXT
51,Tv-01-Pd,0.0013076923076923263,0.007688663104214904,0.22810916930444303,20,0.006226317898131272,-0.003610933282746619,27431,1,LightGBMXT
52,dm-genero,0.0010769230769231142,0.007060710173433197,0.25170193063720014,20,0.005593831839212722,-0.003439985685366494,27431,1,LightGBMXT
53,CC-p2-Pd,0.001000000000000073,0.004663046748947668,0.17478769244963,20,0.003983064904510429,-0.0019830649045102823,27431,1,LightGBMXT
54,FR-pd-Pd,-0.0005384615384615044,0.0023022878686393814,0.8456450062936438,20,0.0009343682466072367,-0.0020112913235302452,27431,1,LightGBMXT
55,St-p3-Pd,-0.0012307692307692076,0.005435846510086637,0.838005910031411,20,0.0022466745572871675,-0.004708213018825583,27431,1,LightGBMXT
56,Tv-03-Pd,-0.01153846153846152,0.011376734333100812,0.9998869460414003,20,-0.004260486698370136,-0.018816436378552903,27431,1,LightGBMXT
57,St-p2-Pd,0.2169230769230769,0.07670414187969962,5.30651555576248e-11,20,0.2659925900527817,0.1678535637933721,27431,1,LightGBM
58,CC-p1-Pd,0.03230769230769229,0.015295287224297115,6.533780991283061e-09,20,0.0420924611465428,0.022522923468841775,27431,1,LightGBM
59,dm-edad,0.01969230769230767,0.009750547980672073,1.3213761622186117e-08,20,0.02592997140165205,0.013454643982963286,27431,1,LightGBM
60,St-p1-Pd,0.01969230769230766,0.010770387445112854,6.048045599346322e-08,20,0.02658238761757235,0.012802227767042967,27431,1,LightGBM
61,FR-p2-Pd,0.01692307692307688,0.012813493355010228,5.478816810801742e-06,20,0.025120181603645167,0.008725972242508595,27431,1,LightGBM
62,FR-p1-Pd,0.01599999999999996,0.011921052459708382,4.467401252915377e-06,20,0.02362618844115342,0.008373811558846499,27431,1,LightGBM
63,Tv-09-Pd,0.013846153846153808,0.011239029738980324,1.2903622671367035e-05,20,0.021036035693824867,0.006656271998482749,27431,1,LightGBM
