Model,Nvariables,nFolds,Seed,Balanced_accuracy,Precision_macro,Precision_micro,Precision_weighted,Recall_macro,Recall_micro,Recall_weighted,F1_weighted,F1_macro,Roc_auc,PR_auc,Log_loss,ROC_AUC
NeuralNetTorch_r1,8,5,0,0.8089171974522293,0.720878889823381,0.8089171974522293,,0.7567204301075269,0.8089171974522293,0.8089171974522293,0.8160612842141504,0.7347972972972974,,0.5712485897331872,0.45968071707395775,0.8399926686217009
NeuralNetTorch_r121,8,5,0,0.8280254777070064,0.7614495798319327,0.8280254777070064,,0.6520650048875856,0.8280254777070064,0.8280254777070064,0.8057209033005212,0.6788636363636363,,0.6660723350246832,0.35911889565686067,0.8829423264907136
NeuralNetTorch_r135,8,5,0,0.8535031847133758,0.778648023549201,0.8535031847133758,,0.8238636363636364,0.8535031847133758,0.8535031847133758,0.8589803178975153,0.7966779279279279,,0.6758444496749224,0.3854626365374212,0.8996823069403714
NeuralNetTorch_r14,8,5,0,0.8535031847133758,0.7868233618233618,0.8535031847133758,,0.7460288367546432,0.8535031847133758,0.8535031847133758,0.8479086212949497,0.7630577427821523,,0.685623538035218,0.3124299805170911,0.9010874877810362
NeuralNetTorch_r143,8,5,0,0.767515923566879,0.7021749658785718,0.767515923566879,,0.7805474095796676,0.767515923566879,0.767515923566879,0.7858697012350448,0.7147976260093816,,0.6082360262709693,0.49042996031054065,0.8430474095796677
NeuralNetTorch_r158,8,5,0,0.8280254777070064,0.7510771641206424,0.8280254777070064,,0.8132942326490713,0.8280254777070064,0.8280254777070064,0.837418538068175,0.7716671155399946,,0.5876812393604398,0.3945112232482794,0.8880131964809383
NeuralNetTorch_r185,8,5,0,0.8121019108280255,0.7220943613348676,0.8121019108280255,,0.7476173020527859,0.8121019108280255,0.8121019108280255,0.8171979573384787,0.7328815514382525,,0.5948396226830395,0.5760710371353613,0.8205645161290323
NeuralNetTorch_r19,8,5,0,0.8471337579617835,0.7694285031085605,0.8471337579617835,,0.7753543499511242,0.8471337579617835,0.8471337579617835,0.8479651049787293,0.7723125264366426,,0.6735415211225535,0.39481085353721895,0.8834921798631475
NeuralNetTorch_r197,8,5,0,0.8407643312101911,0.7610278139939157,0.8407643312101911,,0.7935606060606061,0.8407643312101911,0.8407643312101911,0.8454251548490114,0.7747359963269054,,0.6350903988641655,0.3530871600952261,0.8941837732160313
NeuralNetTorch_r22,8,5,0,0.8439490445859873,0.7651104170091512,0.8439490445859873,,0.7955767350928642,0.8439490445859873,0.8439490445859873,0.8481813543997534,0.7781558647538029,,0.6235055107076014,0.39898798572564975,0.8851417399804496
